date,storage_days
1998-10-01,130
1998-10-02,130
1998-10-03,130
1998-10-04,130
1998-10-05,130
1998-10-06,130
1998-10-07,130
1998-10-08,130
1998-10-09,130
1998-10-10,130
1998-10-11,130
1998-10-12,130
1998-10-13,130
1998-10-14,130
1998-10-15,130
1998-10-16,130
1998-10-17,130
1998-10-18,130
1998-10-19,130
1998-10-20,130
1998-10-21,130
1998-10-22,130
1998-10-23,130
1998-10-24,130
1998-10-25,130
1998-10-26,130
1998-10-27,130
1998-10-28,130
1998-10-29,130
1998-10-30,130
1998-10-31,130
1998-11-01,130
1998-11-02,130
1998-11-03,130
1998-11-04,130
1998-11-05,130
1998-11-06,130
1998-11-07,130
1998-11-08,130
1998-11-09,130
1998-11-10,130
1998-11-11,130
1998-11-12,130
1998-11-13,130
1998-11-14,130
1998-11-15,130
1998-11-16,130
1998-11-17,130
1998-11-18,130
1998-11-19,130
1998-11-20,130
1998-11-21,130
1998-11-22,130
1998-11-23,130
1998-11-24,130
1998-11-25,130
1998-11-26,130
1998-11-27,130
1998-11-28,130
1998-11-29,130
1998-11-30,130
1998-12-01,130
1998-12-02,130
1998-12-03,130
1998-12-04,130
1998-12-05,130
1998-12-06,130
1998-12-07,130
1998-12-08,130
1998-12-09,130
1998-12-10,130
1998-12-11,130
1998-12-12,130
1998-12-13,130
1998-12-14,130
1998-12-15,130
1998-12-16,130
1998-12-17,130
1998-12-18,130
1998-12-19,130
1998-12-20,130
1998-12-21,130
1998-12-22,130
1998-12-23,130
1998-12-24,130
1998-12-25,130
1998-12-26,130
1998-12-27,130
1998-12-28,130
1998-12-29,130
1998-12-30,130
1998-12-31,130
1999-01-01,130
1999-01-02,130
1999-01-03,130
1999-01-04,130
1999-01-05,130
1999-01-06,130
1999-01-07,130
1999-01-08,130
1999-01-09,130
1999-01-10,130
1999-01-11,130
1999-01-12,130
1999-01-13,130
1999-01-14,130
1999-01-15,130
1999-01-16,115
1999-01-17,115
1999-01-18,115
1999-01-19,115
1999-01-20,115
1999-01-21,115
1999-01-22,115
1999-01-23,115
1999-01-24,115
1999-01-25,115
1999-01-26,115
1999-01-27,115
1999-01-28,115
1999-01-29,115
1999-01-30,115
1999-01-31,115
1999-02-01,115
1999-02-02,115
1999-02-03,115
1999-02-04,115
1999-02-05,115
1999-02-06,115
1999-02-07,115
1999-02-08,115
1999-02-09,115
1999-02-10,115
1999-02-11,115
1999-02-12,115
1999-02-13,115
1999-02-14,115
1999-02-15,115
1999-02-16,115
1999-02-17,115
1999-02-18,115
1999-02-19,115
1999-02-20,115
1999-02-21,115
1999-02-22,115
1999-02-23,115
1999-02-24,115
1999-02-25,115
1999-02-26,115
1999-02-27,115
1999-02-28,115
1999-03-01,70
1999-03-02,70
1999-03-03,70
1999-03-04,70
1999-03-05,70
1999-03-06,70
1999-03-07,70
1999-03-08,70
1999-03-09,70
1999-03-10,70
1999-03-11,70
1999-03-12,70
1999-03-13,70
1999-03-14,70
1999-03-15,70
1999-03-16,70
1999-03-17,70
1999-03-18,70
1999-03-19,70
1999-03-20,70
1999-03-21,70
1999-03-22,70
1999-03-23,70
1999-03-24,70
1999-03-25,70
1999-03-26,70
1999-03-27,70
1999-03-28,70
1999-03-29,70
1999-03-30,70
1999-03-31,70
1999-04-01,70
1999-04-02,70
1999-04-03,70
1999-04-04,70
1999-04-05,70
1999-04-06,70
1999-04-07,70
1999-04-08,70
1999-04-09,70
1999-04-10,70
1999-04-11,70
1999-04-12,70
1999-04-13,70
1999-04-14,70
1999-04-15,70
1999-04-16,70
1999-04-17,70
1999-04-18,70
1999-04-19,70
1999-04-20,70
1999-04-21,70
1999-04-22,70
1999-04-23,70
1999-04-24,70
1999-04-25,70
1999-04-26,70
1999-04-27,70
1999-04-28,70
1999-04-29,70
1999-04-30,70
1999-05-01,70
1999-05-02,70
1999-05-03,70
1999-05-04,70
1999-05-05,70
1999-05-06,70
1999-05-07,70
1999-05-08,70
1999-05-09,70
1999-05-10,70
1999-05-11,70
1999-05-12,70
1999-05-13,70
1999-05-14,70
1999-05-15,70
1999-05-16,70
1999-05-17,70
1999-05-18,70
1999-05-19,70
1999-05-20,70
1999-05-21,70
1999-05-22,70
1999-05-23,70
1999-05-24,70
1999-05-25,70
1999-05-26,70
1999-05-27,70
1999-05-28,70
1999-05-29,70
1999-05-30,70
1999-05-31,70
1999-06-01,70
1999-06-02,70
1999-06-03,70
1999-06-04,70
1999-06-05,70
1999-06-06,70
1999-06-07,70
1999-06-08,70
1999-06-09,70
1999-06-10,70
1999-06-11,70
1999-06-12,70
1999-06-13,70
1999-06-14,70
1999-06-15,70
1999-06-16,70
1999-06-17,70
1999-06-18,70
1999-06-19,70
1999-06-20,70
1999-06-21,70
1999-06-22,70
1999-06-23,70
1999-06-24,70
1999-06-25,70
1999-06-26,70
1999-06-27,70
1999-06-28,70
1999-06-29,70
1999-06-30,70
1999-07-01,70
1999-07-02,70
1999-07-03,70
1999-07-04,70
1999-07-05,70
1999-07-06,70
1999-07-07,70
1999-07-08,70
1999-07-09,70
1999-07-10,70
1999-07-11,70
1999-07-12,70
1999-07-13,70
1999-07-14,70
1999-07-15,70
1999-07-16,70
1999-07-17,70
1999-07-18,70
1999-07-19,70
1999-07-20,70
1999-07-21,70
1999-07-22,70
1999-07-23,70
1999-07-24,70
1999-07-25,70
1999-07-26,70
1999-07-27,70
1999-07-28,70
1999-07-29,70
1999-07-30,70
1999-07-31,70
1999-08-01,70
1999-08-02,70
1999-08-03,70
1999-08-04,70
1999-08-05,70
1999-08-06,70
1999-08-07,70
1999-08-08,70
1999-08-09,70
1999-08-10,70
1999-08-11,70
1999-08-12,70
1999-08-13,70
1999-08-14,70
1999-08-15,70
1999-08-16,70
1999-08-17,70
1999-08-18,70
1999-08-19,70
1999-08-20,70
1999-08-21,70
1999-08-22,70
1999-08-23,70
1999-08-24,70
1999-08-25,70
1999-08-26,70
1999-08-27,70
1999-08-28,70
1999-08-29,70
1999-08-30,70
1999-08-31,70
1999-09-01,70
1999-09-02,70
1999-09-03,70
1999-09-04,70
1999-09-05,70
1999-09-06,70
1999-09-07,70
1999-09-08,70
1999-09-09,70
1999-09-10,70
1999-09-11,70
1999-09-12,70
1999-09-13,70
1999-09-14,70
1999-09-15,70
1999-09-16,70
1999-09-17,70
1999-09-18,70
1999-09-19,70
1999-09-20,70
1999-09-21,70
1999-09-22,70
1999-09-23,70
1999-09-24,70
1999-09-25,70
1999-09-26,70
1999-09-27,70
1999-09-28,70
1999-09-29,70
1999-09-30,70
1999-10-01,70
1999-10-02,70
1999-10-03,70
1999-10-04,70
1999-10-05,70
1999-10-06,70
1999-10-07,70
1999-10-08,70
1999-10-09,70
1999-10-10,70
1999-10-11,70
1999-10-12,70
1999-10-13,70
1999-10-14,70
1999-10-15,70
1999-10-16,70
1999-10-17,70
1999-10-18,70
1999-10-19,70
1999-10-20,70
1999-10-21,70
1999-10-22,70
1999-10-23,70
1999-10-24,70
1999-10-25,70
1999-10-26,70
1999-10-27,70
1999-10-28,70
1999-10-29,70
1999-10-30,70
1999-10-31,70
1999-11-01,70
1999-11-02,70
1999-11-03,70
1999-11-04,70
1999-11-05,70
1999-11-06,70
1999-11-07,70
1999-11-08,70
1999-11-09,70
1999-11-10,70
1999-11-11,70
1999-11-12,70
1999-11-13,70
1999-11-14,70
1999-11-15,70
1999-11-16,70
1999-11-17,70
1999-11-18,70
1999-11-19,70
1999-11-20,70
1999-11-21,70
1999-11-22,70
1999-11-23,70
1999-11-24,70
1999-11-25,70
1999-11-26,70
1999-11-27,70
1999-11-28,70
1999-11-29,70
1999-11-30,70
1999-12-01,70
1999-12-02,70
1999-12-03,70
1999-12-04,70
1999-12-05,70
1999-12-06,70
1999-12-07,70
1999-12-08,70
1999-12-09,70
1999-12-10,70
1999-12-11,70
1999-12-12,70
1999-12-13,70
1999-12-14,70
1999-12-15,70
1999-12-16,70
1999-12-17,70
1999-12-18,70
1999-12-19,70
1999-12-20,70
1999-12-21,70
1999-12-22,70
1999-12-23,70
1999-12-24,70
1999-12-25,70
1999-12-26,70
1999-12-27,70
1999-12-28,70
1999-12-29,70
1999-12-30,70
1999-12-31,70
